season,vq22a,vq22b,vq23,vq23a,vq24_1,vq24_2,vq24_3,vq24_4,vq24_5,vq24_6,vq24_7,vq24_8,vq24_9,vq24_10,vq25,vq26a,vq26a_1,vq26a_2,vq26b,vq27,vq27a_1,vq27a_2,vq27a_3,vq27a_4,vq27a_5,vq28,vq28a_1,vq28a_2,vq28a_3,vq28a_4,vq28a_5,vq29,vq29a_1,vq29a_2,vq29a_3,vq29a_4,vq30,vq30a,vq30b,vq30b_1_1,vq30b_1_2,vq30b_1_3,vq30b_1_4,vq30b_1_5,vq30c,vq30d,vq30e,vq30f,vq30f_1_1,vq30f_1_2,vq30f_1_3,vq30f_1_4,vq30f_1_5,vq30g,vb1,vb2,vb3,vb4,vb5,vb6,vb7,weight
4,30,29,1,1,2,,,,,,,,,,2,,,,,4,,,,,,2,,,,,,2,,,,,15,0,8,4,6,,,,5,5,2,1,,,,,,16,10,6,2,2,8,10,2,0.653998
3,30,29,1,1,15,,,,,,,,,,2,,,,,3,6,,,,,1,4,,,,,2,,,,,22,14,5,2,3,5,6,,13,9,8,1,,,,,,16,5,6,5,1,8,3,2,1.137698
3,45,44,1,1,15,,,,,,,,,,4,,,,,4,,,,,,1,2,4,,,,2,,,,,22,0,11,1,2,3,6,,11,8,12,9,2,,,,,16,7,5,11,3,7,3,2,0.715606
2,45,44,1,1,2,,,,,,,,,,2,,,,,4,,,,,,2,,,,,,2,,,,,14,0,1,,,,,,10,9,10,1,,,,,,16,4,5,4,1,8,2,2,0.964867
3,90,89,1,2,2,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,9,0,1,,,,,,1,10,10,1,,,,,,16,10,5,13,2,7,2,2,0.647192
4,23,22,1,1,15,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,15,0,7,1,2,4,5,6,8,9,4,1,,,,,,9,5,5,5,1,6,2,2,1.040302
3,45,44,1,1,2,,,,,,,,,,2,,,,,3,6,,,,,2,,,,,,2,,,,,16,5,8,4,,,,,9,9,10,1,,,,,,16,6,6,3,2,10,19,1,1.290987
4,7,6,1,1,12,,,,,,,,,,3,,,,,3,4,,,,,2,,,,,,2,,,,,6,3,1,,,,,,1,10,1,1,,,,,,3,10,1,13,3,2,13,1,0.682311
3,60,59,1,1,15,,,,,,,,,,2,,,,,4,,,,,,1,2,,,,,2,,,,,21,0,8,4,6,,,,7,14,7,1,,,,,,13,4,5,3,1,10,6,1,1.638077
1,30,29,1,1,2,,,,,,,,,,3,,,,,4,,,,,,1,2,,,,,2,,,,,15,0,5,3,4,,,,1,10,8,1,,,,,,8,8,4,13,2,3,5,1,1.188691
4,65,64,1,1,10,,,,,,,,,,2,,,,,4,,,,,,2,,,,,,2,,,,,19,0,1,,,,,,1,13,2,1,,,,,,16,10,5,2,2,10,4,1,0.686275
3,60,59,1,2,19,,,,,,,,,,2,,,,,4,,,,,,1,2,,,,,2,,,,,14,0,8,1,2,4,5,6,1,11,7,6,3,,,,,12,8,6,3,3,3,4,1,1.089838
4,7,6,1,1,16,,,,,,,,,,3,,,,,3,2,,,,,1,2,,,,,2,,,,,15,15,10,65,,,,,1,10,8,1,,,,,,16,8,6,2,2,10,3,1,1.105811
2,78,77,1,2,2,,,,,,,,,,2,,,,,4,,,,,,2,,,,,,2,,,,,22,0,8,2,3,,,,11,10,10,1,,,,,,16,6,6,2,2,9,3,1,1.362633
4,7,6,1,2,62,,,,,,,,,,2,,,,,4,,,,,,1,2,4,7,,,2,,,,,6,0,1,,,,,,1,4,1,1,,,,,,3,3,6,12,1,2,2,1,1.540312
4,30,29,1,1,15,,,,,,,,,,3,,,,,4,,,,,,2,,,,,,2,,,,,17,0,6,1,2,4,,,14,9,13,1,,,,,,3,7,5,2,2,10,1,1,1.098527
